CreateTime,Title,Solution
02/09/2012,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
02/10/2012,high active tariff size drx,old alarm is cleared now hence closing
02/10/2012,the actdir server is not reachable drx,old alarm is cleared now hence closing
02/10/2012,mul nine errors present in ticketerrors log file drx,"no deviation observed , currently no errors"
02/11/2012,deviation in event logs,old alarm is cleared now hence closing
02/12/2012,axd stats file not updating /tmp/stat.0,old alarm is cleared now hence closing
02/12/2012,the actdir server is not reachable drx,due to planned system upgrade on axd13.
02/12/2012,the actdir server is not reachable drx,"closing. disk space has been reduced, old audit logs has been deleted from /var/audit in ert & newarr and from gtt, /var/log path."
02/12/2012,mul nine errors present in ticketerrors log file drx,checked no deviation observed
2/13/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,due to shut down of node
2/13/2012 ,the actdir server is not reachable drx,old alarm is cleared now hence closing
2/13/2012 ,the actdir server is not reachable drx,old alarm is cleared now hence closing
2/14/2012 ,update errors in mul nine logs,due to planned system upgrade on axd13.
2/14/2012 ,deviation in cluster processes in agdgroupmgr processstat command,due to planned system upgrade on axd13.
2/14/2012 ,rjr/jr  link status in down state,old alarm is cleared now hence closing
2/14/2012 ,mul nine errors present in ticketerrors log file drx,old alarm is cleared now hence closing
2/15/2012 ,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
2/16/2012 ,high utilization of data base at axd,old alarm is cleared now hence closing
2/16/2012 ,the actdir server is not reachable drx,old alarm is cleared now hence closing
2/16/2012 ,mul nine errors present in ticketerrors log file drx,clearing old ticket.
2/17/2012 ,high active tariff size drx,clearing old ticket.
2/17/2012 ,high utilization of data base at axd,clearing old ticket.
2/18/2012 ,the actdir server is not reachable drx,clearing old ticket.
2/18/2012 ,high utilization of data base at axd,old alarm is cleared now hence closing
2/19/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,due to shut down of node
2/19/2012 ,deviation in ecr logs in var opt ecr logs secr log file drx,due to shut down of node
2/19/2012 ,mul nine errors present in ticketerrors log file drx,"no currently such errors , timeten db  is ok"
2/19/2012 ,mul nine errors present in ticketerrors log file drx,"no errors observed, hence closing ticket"
2/20/2012 ,axd stats file not updating /tmp/stat.0,due to shut down of node
2/20/2012 ,axd stats file not updating /tmp/stat.0,due to shut down of node
2/20/2012 ,axd stats file not updating /tmp/stat.0,due to shut down of node
2/20/2012 ,pstack generating in axd in logs,due to shut down of node
2/20/2012 ,pstack generating in axd in logs,due to shut down of node
2/20/2012 ,rjr/jr  link status in down state,due to shut down of node
2/20/2012 ,rjr/jr  link status in down state,due to shut down of node
2/20/2012 ,issue in dord0 interface,old alarm is cleared now hence closing
2/20/2012 ,deviation in event logs,old alarm is cleared now hence closing
2/20/2012 ,mul nine errors present in ticketerrors log file drx,"no currently such errors , hence closing ticket"
2/21/2012 ,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
2/21/2012 ,issue in dord0 interface,old alarm is cleared now hence closing
2/21/2012 ,deviation in event logs,"no error,warning & panic message found for current date."
2/24/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no deviation found. refer logs:
2/24/2012 ,mul nine errors present in ticketerrors log file drx,"no deviation observed , no such current errors in mul nine"
2/24/2012 ,load rejections in container logs cpscrjrdiameter.log.0,no issue .
2/24/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
2/24/2012 ,mul nine errors present in ticketerrors log file drx,no issue .
2/24/2012 ,high disk space on axd,no issue .
2/25/2012 ,high disk space on axd,no issue .
2/25/2012 ,high disk space on axd,disk space reduced..
2/25/2012 ,high disk space on axd,disk space ..
2/25/2012 ,high cpu utilization,no issue now..
2/25/2012 ,default rate is not defined for time at axd,no issue now
2/26/2012 ,pstack generating in axd in logs,ticket is closed since stats file were updating with current time.
2/26/2012 ,pstack generating in axd in logs,ticket is closed since stats file were updating with current time.
2/26/2012 ,axd stats file not updating /tmp/stat.0,ticket is closed since stats file were updating with current time.
2/26/2012 ,axd stats file not updating /tmp/stat.0,ticket is closed since stats file were updating with current time.
2/26/2012 ,axd stats file not updating /tmp/stat.0,ticket is closed since stats file were updating with current time.
2/26/2012 ,axd stats file not updating /tmp/stat.0,ticket is closed since stats file were updating with current time.
2/26/2012 ,issue in dord0 interface,no issue  .
2/26/2012 ,high cpu utilization,no issue  .
2/26/2012 ,default rate is not defined for time at axd,no issue  .
2/27/2012 ,update errors in mul nine logs,no issue  .
2/27/2012 ,issue in dord0 interface,no issue .
2/27/2012 ,update errors in mul nine logs,"""2012-02-27-1153,8,0,5,8,0,5,0,0,0,0,0,0"
2/27/2012 ,high cpu utilization,no issue .
2/27/2012 ,update errors in mul nine logs,"no issue ,"
2/27/2012 ,mul nine errors present in ticketerrors log file drx,no such errors observed
2/28/2012 ,mul nine errors present in ticketerrors log file drx,"no such errors observed, mulnine db is okay"
2/28/2012 ,default rate is not defined for time at axd,power issue is restored now hence cloisng the ticket
2/29/2012 ,the actdir server is not reachable drx,"this was due to moving, the alarm auto cleared."
03/01/2012,mul nine errors present in ticketerrors log file drx,"no such errors observed, mulnine db is okay"
03/01/2012,pstack generating in axd in logs,"company1 clocation7 experienced an issue wherein tcp/ip connectivity was lost for multiple in nodes due to which voice, data and sms services were impacted for axd7,axd9 and ffg2 users."
03/01/2012,mul nine errors present in ticketerrors log file drx,"company1 clocation7 experienced an issue wherein tcp/ip connectivity was lost for multiple in nodes due to which voice, data and sms services were impacted for axd7,axd9 and ffg2 users."
03/01/2012,pstack generating in axd in logs,power issue is restored now hence cloisng the ticket
03/01/2012,mul nine errors present in ticketerrors log file drx,"no such errors observed, mulnine db is okay"
03/02/2012,pstack generating in axd in logs,closing as there was no impact mail has been sent to local to check the same why there are errors coming for 3000
03/02/2012,deviation in cluster processes in agdgroupmgr processstat command,no issue .
03/02/2012,issue in dord1 interface,no issue .
03/03/2012,mul nine errors present in ticketerrors log file drx,errorrs occurred during busy hour
03/03/2012,high disk space on axd,no issue .
03/04/2012,axd stats file not updating /tmp/stat.0,no issue .
03/04/2012,pstack generating in axd in logs,no issue .
03/04/2012,high disk space on axd,no issue .
03/04/2012,rma data sync issue,no issue .
03/04/2012,mul nine errors present in ticketerrors log file drx,"no such errors , mul nine db is okay"
03/04/2012,the actdir server is not reachable drx,all ticket close approved by tl .
03/04/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
03/04/2012,update errors in mul nine logs,no issue .
03/05/2012,mul nine errors present in ticketerrors log file drx,"closing, it is due to activity of w-blur."
03/05/2012,update errors in mul nine logs,"closing, it is due to activity of w-blur."
03/05/2012,update errors in mul nine logs,"closing, it is due to activity of w-blur."
03/05/2012,pstack generating in axd in logs,"closing, it is due to activity of w-blur."
03/05/2012,update errors in mul nine logs,all ticket close approved by tl .
03/05/2012,update errors in mul nine logs,all ticket close approved by tl .
03/05/2012,pstack generating in axd in logs,all ticket close approved by tl .
03/05/2012,high disk space on axd,"no issue ,"
03/05/2012,update errors in mul nine logs,all ticket close approved by tl .
03/05/2012,update errors in mul nine logs,all ticket close approved by tl .
03/05/2012,mul nine errors present in ticketerrors log file drx,all ticket close approved by tl .
03/05/2012,axd stats file not updating /tmp/stat.0,no issue .
03/05/2012,high reservation count in b node axd,no issue .
03/05/2012,high disk space on axd,disk space has been reduced .
03/05/2012,update errors in mul nine logs,no issue .
03/05/2012,update errors in mul nine logs,no issue .
03/05/2012,update errors in mul nine logs,no issue .
03/05/2012,update errors in mul nine logs,no issue .
03/05/2012,high utilization of data base at axd,"customer initiated cancellation:   gat traffic is running fine on drt9 ,reundancy activity is done successfully,refer sgatle logs as below:"
03/05/2012,high utilization of data base at axd,no issue .
03/05/2012,high utilization of data base at axd,"customer initiated cancellation:   gat traffic is running fine on drt9 ,reundancy activity is done successfully,refer sgatle logs as below:"
03/05/2012,mul nine errors present in ticketerrors log file drx,errorrs occurred during busy hour
03/06/2012,high utilization of data base at axd,no issue .
03/06/2012,high utilization of data base at axd,no issue .
03/06/2012,high disk space on axd,no issue .
03/06/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
03/06/2012,pstack generating in axd in logs,"no issue ,"
03/06/2012,error  notice in datasync logs,no issue .
03/06/2012,high disk space on axd,no issue .
03/06/2012,mul nine errors present in ticketerrors log file drx,"no currently such errors, mul nine db is working fine"
03/06/2012,rjr/jr  link status in down state,no issue .
03/06/2012,pstack generating in axd in logs,no issue .
03/07/2012,high disk space on axd,no issue .
03/07/2012,mul nine errors present in ticketerrors log file drx,no issue .
03/07/2012,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,"no issue ,"
03/08/2012,rjr/jr  link status in down state,no issue .
03/09/2012,high active tariff size drx,no issue .
03/09/2012,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
03/09/2012,default rate is not defined for time at axd,"no issue ,"
03/09/2012,user not found  internal error  costing failed deviation in traffic handler stats,"no issue ,"
03/09/2012,deviation in power supply in sudo hpasmcli  s show powersupply egrep  v watts hotplug command,"no issue ,"
03/09/2012,the actdir server is not reachable drx,no issue  .
03/09/2012,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
03/10/2012,high disk space on axd,no issue .
03/10/2012,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
03/10/2012,corba timeout deviation in traffic handler logs,"no issue ,"
03/11/2012,pstack generating in axd in logs,no deviation found and logs attached in chat.
03/12/2012,pstack generating in axd in logs,no deviation found and logs attached in chat.
03/12/2012,pstack generating in axd in logs,"no issue ,"
03/12/2012,high utilization of data base at axd,error is came during activity hence closings
03/12/2012,update errors in mul nine logs,error is came during activity hence closings
03/12/2012,mul nine errors present in ticketerrors log file drx,error is came during activity hence closings
03/12/2012,high utilization of data base at axd,issue is resolved now hence closing
03/12/2012,high utilization of data base at axd,issue is resolved now hence closing
03/12/2012,issue in dord0 interface,issue is resolved now hence closing
03/12/2012,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,issue has been resolved now hence closing
03/12/2012,high cpu utilization,issue is resolved now hence closing
03/12/2012,high disk space on axd,mail sent to local team with ping and traceroute.
03/12/2012,mul nine errors present in ticketerrors log file drx,this was due to issue in rjr diameter and its now resolved.
3/13/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,issue has been resoled and also disk space is reduced
3/13/2012 ,issue in dord0 interface,issue has been resoled and also disk space is reduced
3/13/2012 ,issue in dord0 interface,issue is resolved now hence closing
3/13/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,issue is resolved now hence closing
3/13/2012 ,mul nine errors present in ticketerrors log file drx,customer initiated cancellation:   
3/13/2012 ,high cpu utilization,issue is resolved now hence closing
3/14/2012 ,the actdir server is not reachable drx,error is came during activity hence closings
3/14/2012 ,default rate is not defined for time at axd,issue is resolved now hence closing
3/15/2012 ,issue in dord0 interface,no issue .
3/15/2012 ,high cpu utilization,no issue .
3/16/2012 ,high active tariff size drx,error is came during activity hence closings
3/16/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,currently no failure found in event logs.
3/16/2012 ,the actdir server is not reachable drx,issue is resolved now hence closing
3/16/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,error is came during activity hence closings
3/16/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,error is came during activity hence closings
3/16/2012 ,high disk space on axd,disk space has been reduced. old logs has been zipped.
3/17/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
3/17/2012 ,the actdir server is not reachable drx,license is reachable on axd6a hence closing
3/17/2012 ,high disk space on axd,disk space has been reduced by removing old files placed by system team.
3/17/2012 ,high disk space on axd,"disk space is reduced now,hence closing"
3/17/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
3/17/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
3/17/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,no issue .
3/18/2012 ,fail  close errors deviation in /var/opt/appl_97/logs/rfdrinterface.log.0,due to power outage at data center & restored by local team
3/18/2012 ,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
3/18/2012 ,issue in dord0 interface,jrr4 dry run activity done now esy traffic is running fine hence closing the related  tickets
3/18/2012 ,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
3/18/2012 ,high cpu utilization,traffic is running as per daily trend.
3/19/2012 ,ip   high rate of arbol execution failure observed in eventlogfile.txt.0,customer initiated cancellation:   ticket related to nextgensystem3 and no traffic on nextgensystem3 and all old days ticket .
3/19/2012 ,error  notice in datasync logs,due to power outage at data center & restored by local team
3/19/2012 ,high utilization of data base at axd,replication is running fine
3/19/2012 ,mul nine errors present in ticketerrors log file drx,errors occurred during busy hour
3/20/2012 ,user not found  internal error  costing failed deviation in traffic handler stats,jrr4 dry run activity done now esy traffic is running fine hence closing the related  tickets
3/20/2012 ,high cpu utilization,jrr4 dry run activity done now esy traffic is running fine hence closing the related  tickets
3/20/2012 ,the actdir server is not reachable drx,"disk space is reduced now and alos old alarm is cleared ,traffic is running fine"
3/20/2012 ,mul nine errors present in ticketerrors log file drx,standby replication is working fine
3/20/2012 ,high utilization of data base at axd,replication is running fine.
3/21/2012 ,high utilization of data base at axd,issue is resolved hence closing
3/21/2012 ,high utilization of data base at axd,issue is resolved hence closing
3/21/2012 ,the actdir server is not reachable drx,issue is resolved hence closing
3/21/2012 ,high utilization of data base at axd,issue is resolved hence closing
3/21/2012 ,mul nine errors present in ticketerrors log file drx,customer initiated cancellation:   issue resolved and some issue related due to activity..
3/22/2012 ,high active tariff size drx,customer initiated cancellation:   issue resolved and some issue related due to activity..
3/22/2012 ,the actdir server is not reachable drx,customer initiated cancellation:   issue resolved and some issue related due to activity..
3/22/2012 ,high utilization of data base at axd,customer initiated cancellation:   issue resolved and some issue related due to activity..
3/22/2012 ,pstack generating in axd in logs,customer initiated cancellation:   ticket related to nextgensystem3 and no traffic on nextgensystem3 and all old days ticket .
3/23/2012 ,high active tariff size drx,customer initiated cancellation:   issue resolved and some issue related due to activity..
3/23/2012 ,high active tariff size drx,disk space is in under threshold.
3/23/2012 ,the actdir server is not reachable drx,traffic running fine.. logs attached.
3/24/2012 ,issue in dord0 interface,"disk is high due to external mount rfdf and ssr server ,same has been reduced hence closing"
3/24/2012 ,high utilization of data base at axd,utilization of data base is in under threshold.
3/24/2012 ,high cpu utilization,"disk is high due to external mount rfdf and ssr server ,same has been reduced hence closing"
3/24/2012 ,high disk space on axd,disk space has been reduced.
3/26/2012 ,error  notice in datasync logs,activity has been completed for config deletion of axd12 & 14.
3/26/2012 ,issue in dord0 interface,traffic is running fine hence closing and also old alarm is cleared now
3/26/2012 ,error  notice in datasync logs,non live node under uat
3/26/2012 ,high utilization of data base at axd,checked all the no  issue found.
3/26/2012 ,deviation in sol aggregation in /tmp/dladm logs  date    y  m  d .log file,non live node under uat
